"code";"classe";"groupe";"division";"industry";"section";"label_fr"
"24.33Z";"24.33";"24.3";"24";"C24";"C";"Profilage à froid par formage ou pliage"
"24.34Z";"24.34";"24.3";"24";"C24";"C";"Tréfilage à froid"
"24.41Z";"24.41";"24.4";"24";"C24";"C";"Production de métaux précieux"
"24.42Z";"24.42";"24.4";"24";"C24";"C";"Métallurgie de l'aluminium"
"24.43Z";"24.43";"24.4";"24";"C24";"C";"Métallurgie du plomb, du zinc ou de l'étain"
"24.44Z";"24.44";"24.4";"24";"C24";"C";"Métallurgie du cuivre"
"24.45Z";"24.45";"24.4";"24";"C24";"C";"Métallurgie des autres métaux non ferreux"
"24.46Z";"24.46";"24.4";"24";"C24";"C";"Élaboration et transformation de matières nucléaires"
"24.51Z";"24.51";"24.5";"24";"C24";"C";"Fonderie de fonte"
"24.52Z";"24.52";"24.5";"24";"C24";"C";"Fonderie d'acier"
"24.53Z";"24.53";"24.5";"24";"C24";"C";"Fonderie de métaux légers"
"24.54Z";"24.54";"24.5";"24";"C24";"C";"Fonderie d'autres métaux non ferreux"
"25.11Z";"25.11";"25.1";"25";"C25";"C";"Fabrication de structures métalliques et de parties de structures"
"25.12Z";"25.12";"25.1";"25";"C25";"C";"Fabrication de portes et fenêtres en métal"
"25.21Z";"25.21";"25.2";"25";"C25";"C";"Fabrication de radiateurs et de chaudières pour le chauffage central"
"25.29Z";"25.29";"25.2";"25";"C25";"C";"Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
"25.30Z";"25.30";"25.3";"25";"C25";"C";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
"25.40Z";"25.40";"25.4";"25";"C25";"C";"Fabrication d'armes et de munitions"
"25.50A";"25.50";"25.5";"25";"C25";"C";"Forge, estampage, matriçage ; métallurgie des poudres"
"25.50B";"25.50";"25.5";"25";"C25";"C";"Découpage, emboutissage"
"25.61Z";"25.61";"25.6";"25";"C25";"C";"Traitement et revêtement des métaux"
"25.62A";"25.62";"25.6";"25";"C25";"C";"Décolletage"
"25.62B";"25.62";"25.6";"25";"C25";"C";"Mécanique industrielle"
"25.71Z";"25.71";"25.7";"25";"C25";"C";"Fabrication de coutellerie"
"25.72Z";"25.72";"25.7";"25";"C25";"C";"Fabrication de serrures et de ferrures"
"25.73A";"25.73";"25.7";"25";"C25";"C";"Fabrication de moules et modèles"
"25.73B";"25.73";"25.7";"25";"C25";"C";"Fabrication d'autres outillages"
"25.91Z";"25.91";"25.9";"25";"C25";"C";"Fabrication de fûts et emballages métalliques similaires"
"25.92Z";"25.92";"25.9";"25";"C25";"C";"Fabrication d'emballages métalliques légers"
"25.93Z";"25.93";"25.9";"25";"C25";"C";"Fabrication d'articles en fils métalliques, de chaînes et de ressorts"
"25.94Z";"25.94";"25.9";"25";"C25";"C";"Fabrication de vis et de boulons"
"25.99A";"25.99";"25.9";"25";"C25";"C";"Fabrication d'articles métalliques ménagers"
"25.99B";"25.99";"25.9";"25";"C25";"C";"Fabrication d'autres articles métalliques"
"26.11Z";"26.11";"26.1";"26";"C26";"C";"Fabrication de composants électroniques"
"26.12Z";"26.12";"26.1";"26";"C26";"C";"Fabrication de cartes électroniques assemblées"
"26.20Z";"26.20";"26.2";"26";"C26";"C";"Fabrication d'ordinateurs et d'équipements périphériques"
"26.30Z";"26.30";"26.3";"26";"C26";"C";"Fabrication d'équipements de communication"
"26.40Z";"26.40";"26.4";"26";"C26";"C";"Fabrication de produits électroniques grand public"
"26.51A";"26.51";"26.5";"26";"C26";"C";"Fabrication d'équipements d'aide à la navigation"
"26.51B";"26.51";"26.5";"26";"C26";"C";"Fabrication d'instrumentation scientifique et technique"
"26.52Z";"26.52";"26.5";"26";"C26";"C";"Horlogerie"
"26.60Z";"26.60";"26.6";"26";"C26";"C";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
"26.70Z";"26.70";"26.7";"26";"C26";"C";"Fabrication de matériels optique et photographique"
"26.80Z";"26.80";"26.8";"26";"C26";"C";"Fabrication de supports magnétiques et optiques"
"27.11Z";"27.11";"27.1";"27";"C27";"C";"Fabrication de moteurs, génératrices et transformateurs électriques"
"27.12Z";"27.12";"27.1";"27";"C27";"C";"Fabrication de matériel de distribution et de commande électrique"
"27.20Z";"27.20";"27.2";"27";"C27";"C";"Fabrication de piles et d'accumulateurs électriques"
"27.31Z";"27.31";"27.3";"27";"C27";"C";"Fabrication de câbles de fibres optiques"
"27.32Z";"27.32";"27.3";"27";"C27";"C";"Fabrication d'autres fils et câbles électroniques ou électriques"
"27.33Z";"27.33";"27.3";"27";"C27";"C";"Fabrication de matériel d'installation électrique"
"27.40Z";"27.40";"27.4";"27";"C27";"C";"Fabrication d'appareils d'éclairage électrique"
"27.51Z";"27.51";"27.5";"27";"C27";"C";"Fabrication d'appareils électroménagers"
"27.52Z";"27.52";"27.5";"27";"C27";"C";"Fabrication d'appareils ménagers non électriques"
"27.90Z";"27.90";"27.9";"27";"C27";"C";"Fabrication d'autres matériels électriques"
"28.11Z";"28.11";"28.1";"28";"C28";"C";"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules"
"28.12Z";"28.12";"28.1";"28";"C28";"C";"Fabrication d'équipements hydrauliques et pneumatiques"
"28.13Z";"28.13";"28.1";"28";"C28";"C";"Fabrication d'autres pompes et compresseurs"
"28.14Z";"28.14";"28.1";"28";"C28";"C";"Fabrication d'autres articles de robinetterie"
"28.15Z";"28.15";"28.1";"28";"C28";"C";"Fabrication d'engrenages et d'organes mécaniques de transmission"
