"code_ape_a732";"label_ape_a732";"code_eeio_dk";"label_eeio_dk";"flag_mapping_a732";"accuracy_mapping_a732"
"24.53Z";"Fonderie de métaux lége";"240000";"Manufacture of basic metals";"";4
"24.54Z";"Fonderie d'autres métaux non ferreu";"240000";"Manufacture of basic metals";"";4
"25.11Z";"Fabrication de structures métalliques et de parties de structure";"250000";"Manufacture of fabricated metal products";"";4
"25.12Z";"Fabrication de portes et fenêtres en mét";"250000";"Manufacture of fabricated metal products";"";4
"25.21Z";"Fabrication de radiateurs et de chaudières pour le chauffage centra";"250000";"Manufacture of fabricated metal products";"";4
"25.29Z";"Fabrication d'autres réservoirs, citernes et conteneurs métalliqu";"250000";"Manufacture of fabricated metal products";"";4
"25.30Z";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage cen";"250000";"Manufacture of fabricated metal products";"";4
"25.40Z";"Fabrication d'armes et de munitions";"250000";"Manufacture of fabricated metal products";"";4
"25.50A";" métallurgie des poudr";"250000";"Manufacture of fabricated metal products";"";4
"25.50B";"Découpage, emboutissag";"250000";"Manufacture of fabricated metal products";"";4
"25.61Z";"Traitement et revêtement des méta";"250000";"Manufacture of fabricated metal products";"";4
"25.62A";"Décolletag";"250000";"Manufacture of fabricated metal products";"";4
"25.62B";"Mécanique industriell";"250000";"Manufacture of fabricated metal products";"";4
"25.71Z";"Fabrication de coutellerie";"250000";"Manufacture of fabricated metal products";"";4
"25.72Z";"Fabrication de serrures et de ferrures";"250000";"Manufacture of fabricated metal products";"";4
"25.73A";"Fabrication de moules et modèle";"250000";"Manufacture of fabricated metal products";"";4
"25.73B";"Fabrication d'autres outillages";"250000";"Manufacture of fabricated metal products";"";4
"25.91Z";"Fabrication de fûts et emballages métalliques similair";"250000";"Manufacture of fabricated metal products";"";4
"25.92Z";"Fabrication d'emballages métalliques lége";"250000";"Manufacture of fabricated metal products";"";4
"25.93Z";"Fabrication d'articles en fils métalliques, de chaînes et de ressor";"250000";"Manufacture of fabricated metal products";"";4
"25.94Z";"Fabrication de vis et de boulons";"250000";"Manufacture of fabricated metal products";"";4
"25.99A";"Fabrication d'articles métalliques ménage";"250000";"Manufacture of fabricated metal products";"";4
"25.99B";"Fabrication d'autres articles métallique";"250000";"Manufacture of fabricated metal products";"";4
"26.11Z";"Fabrication de composants électronique";"260020";"Manufacture of other electronic products";"d";3
"26.12Z";"Fabrication de cartes électroniques assemblé";"260020";"Manufacture of other electronic products";"d";3
"26.20Z";"Fabrication d'ordinateurs et d'équipements périphériq";"260010";"Manufacture of computers and communication equipment etc.";"";2
"26.30Z";"Fabrication d'équipements de communicatio";"260010";"Manufacture of computers and communication equipment etc.";"";2
