"code_ape_a732";"label_ape_a732";"code_eeio_us";"label_eeio_us";"flag_mapping_a732";"accuracy_mapping_a732"
"95.25Z";"Réparation d'articles d'horlogerie et de bijouterie";"811400";"Personal and household goods repair and maintenance";"";3
"95.29Z";"Réparation d'autres biens personnels et domestiques";"811400";"Personal and household goods repair and maintenance";"";3
"96.01A";"Blanchisserie-teinturerie de gros";"812300";"Dry-cleaning and laundry services";"";2
"96.01B";"Blanchisserie-teinturerie de détail";"812300";"Dry-cleaning and laundry services";"";2
"96.02A";"Coiffure";"812100";"Personal care services";"";3
"96.02B";"Soins de beauté";"812100";"Personal care services";"";3
"96.03Z";"Services funéraires";"812200";"Death care services";"";1
"96.04Z";"Entretien corporel";"812100";"Personal care services";"";3
"96.09Z";"Autres services personnels n.c.a.";"812900";"Other personal services";"";3
"97.00Z";"Activités des ménages en tant qu'employeurs de personnel domestique";"814000";"Private households";"";1
