"code_ape_a732";"label_ape_a732";"code_eeio_us";"label_eeio_us";"flag_mapping_a732";"accuracy_mapping_a732"
"24.46Z";"Élaboration et transformation de matières nucléaires";"325180";"Other basic inorganic chemical manufacturing";"";3
"24.51Z";"Fonderie de fonte";"331510";"Ferrous metal foundries";"";2
"24.52Z";"Fonderie d'acier";"331510";"Ferrous metal foundries";"";2
"24.53Z";"Fonderie de métaux légers";"331520";"Nonferrous metal foundries";"";2
"24.54Z";"Fonderie d'autres métaux non ferreux";"331520";"Nonferrous metal foundries";"";2
"25.11Z";"Fabrication de structures métalliques et de parties de structures";"332310";"Plate work and fabricated structural product manufacturing";"";1
"25.12Z";"Fabrication de portes et fenêtres en métal";"332320";"Ornamental and architectural metal products manufacturing";"";1
"25.21Z";"Fabrication de radiateurs et de chaudières pour le chauffage central";"333414";"Heating equipment (except warm air furnaces) manufacturing";"";
"25.29Z";"Fabrication d'autres réservoirs, citernes et conteneurs métalliques";"332420";"Metal tank (heavy gauge) manufacturing";"p";2
"25.29Z";"Fabrication d'autres réservoirs, citernes et conteneurs métalliques";"332430";"Metal can, box, and other metal container (light gauge) manufacturing";"p";2
"25.30Z";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central";"332410";"Power boiler and heat exchanger manufacturing";"";1
"25.40Z";"Fabrication d'armes et de munitions";"33299A";"Ammunition, arms, ordnance, and accessories manufacturing";"";1
"25.50A";"Forge, estampage, matriçage ; métallurgie des poudres";"33211A";"All other forging, stamping, and sintering";"";3
"25.50B";"Découpage, emboutissage";"332119";"Metal crown, closure, and other metal stamping (except automotive)";"p";3
"25.50B";"Découpage, emboutissage";"33211A";"All other forging, stamping, and sintering";"p";3
"25.50B";"Découpage, emboutissage";"336370";"Motor vehicle metal stamping";"p";3
"25.61Z";"Traitement et revêtement des métaux";"332800";"Coating, engraving, heat treating and allied activities";"";1
"25.62A";"Décolletage";"332720";"Turned product and screw, nut, and bolt manufacturing";"";2
"25.62B";"Mécanique industrielle";"332710";"Machine shops";"";1
"25.71Z";"Fabrication de coutellerie";"332200";"Cutlery and handtool manufacturing";"";1
"25.72Z";"Fabrication de serrures et de ferrures";"332500";"Hardware manufacturing";"";3
"25.73A";"Fabrication de moules et modèles";"333511";"Industrial mold manufacturing";"";2
"25.73A";"Fabrication de moules et modèles";"333514";"Special tool, die, jig, and fixture manufacturing";"";2
"25.73B";"Fabrication d'autres outillages";"333514";"Special tool, die, jig, and fixture manufacturing";"";3
"25.91Z";"Fabrication de fûts et emballages métalliques similaires";"332430";"Metal can, box, and other metal container (light gauge) manufacturing";"";2
"25.92Z";"Fabrication d'emballages métalliques légers";"332119";"Metal crown, closure, and other metal stamping (except automotive)";"p";2
"25.92Z";"Fabrication d'emballages métalliques légers";"332430";"Metal can, box, and other metal container (light gauge) manufacturing";"p";2
"25.92Z";"Fabrication d'emballages métalliques légers";"332999";"Other fabricated metal manufacturing";"p";2
"25.93Z";"Fabrication d'articles en fils métalliques, de chaînes et de ressorts";"332600";"Spring and wire product manufacturing";"";1
"25.94Z";"Fabrication de vis et de boulons";"332720";"Turned product and screw, nut, and bolt manufacturing";"";2
