"year","code_ape_a732","aggregate","fpt","accuracy_fpt","unit","libelle_ape_a732"
"2022","46.72Z","PRD",102,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de minerais et métaux"
"2022","46.72Z","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de minerais et métaux"
"2022","46.73A","PRD",102,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de bois et de matériaux de construction"
"2022","46.73A","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de bois et de matériaux de construction"
"2022","46.73A","GVA",79,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de bois et de matériaux de construction"
"2022","46.73B","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration"
"2022","46.73B","PRD",102,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration"
"2022","46.73B","GVA",79,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration"
"2022","46.74A","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de quincaillerie"
"2022","46.74A","GVA",79,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de quincaillerie"
"2022","46.74A","PRD",102,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de quincaillerie"
"2022","46.74B","GVA",79,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage"
"2022","46.74B","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage"
"2022","46.74B","PRD",102,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage"
"2022","46.75Z","IC",130,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de produits chimiques"
"2022","46.75Z","PRD",104,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de produits chimiques"
"2022","46.75Z","GVA",81,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de produits chimiques"
"2022","46.76Z","GVA",81,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'autres produits intermédiaires"
"2022","46.76Z","IC",130,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'autres produits intermédiaires"
