"code_naf";"code_nafa";"libelle_nafa"
"2830Z";"28.30Z-Z";"Fabrication de machines agricoles et forestières"
"2841Z";"28.41Z-Z";"Fabrication de machines-outils pour le travail des métaux"
"2849Z";"28.49Z-Z";"Fabrication d'autres machines-outils"
"2891Z";"28.91Z-Z";"Fabrication de machines pour la métallurgie"
"2892Z";"28.92Z-A";"Fabrication de matériels de mines pour l'extraction"
"2892Z";"28.92Z-B";"Fabrication de matériels de travaux publics"
"2893Z";"28.93Z-Z";"Fabrication de machines pour l'industrie agro-alimentaire"
"2894Z";"28.94Z-Z";"Fabrication de machines pour les industries textiles"
"2895Z";"28.95Z-Z";"Fabrication de machines pour les industries du papier et du carton"
"2896Z";"28.96Z-Z";"Fabrication de machines pour le travail du caoutchouc ou des plastiques"
"2899A";"28.99A-Z";"Fabrication de machines d'imprimerie"
"2899B";"28.99B-Z";"Fabrication d'autres machines spécialisées"
"2910Z";"29.10Z-A";"Construction de voiturettes"
"2910Z";"29.10Z-B";"Construction d'autres véhicules automobiles"
"2920Z";"29.20Z-A";"Fabrication de carrosseries"
"2920Z";"29.20Z-B";"Aménagement de véhicules"
"2920Z";"29.20Z-C";"Fabrication de remorques et de semi-remorques"
"2931Z";"29.31Z-Z";"Fabrication de matériels électriques et électroniques automobiles"
"2932Z";"29.32Z-Z";"Fabrication d'autres équipements automobiles"
"3011Z";"30.11Z-A";"Construction de navires"
"3011Z";"30.11Z-B";"Transformation et équipement des navires"
"3012Z";"30.12Z-Z";"Construction de bateaux de plaisance"
"3020Z";"30.20Z-Z";"Construction de locomotives et d'autre matériel ferroviaire roulant"
"3030Z";"30.30Z-A";"Construction de moteurs pour aéronefs"
"3030Z";"30.30Z-B";"Construction de cellules d'aéronefs"
"3030Z";"30.30Z-C";"Construction de lanceurs et engins spatiaux"
"3040Z";"30.40Z-Z";"Construction de véhicules militaires de combat"
"3091Z";"30.91Z-A";"Construction de motocycles"
"3091Z";"30.91Z-B";"Fabrication d'équipements pour motocycles"
"3092Z";"30.92Z-A";"Construction de bicyclettes"
"3092Z";"30.92Z-B";"Fabrication d'équipements pour bicyclettes"
"3092Z";"30.92Z-C";"Fabrication de véhicules pour invalides et enfants"
"3099Z";"30.99Z-Z";"Fabrication d'autres équipements de transport n.c.a."
"3101Z";"31.01Z-Z";"Fabrication de meubles de bureau et de magasin"
"3102Z";"31.02Z-Z";"Fabrication de meubles de cuisine"
"3103Z";"31.03Z-Z";"Fabrication de matelas"
"3109A";"31.09A-Z";"Fabrication de sièges d'ameublement d'intérieur"
"3109B";"31.09B-A";"Fabrication et finissage de meubles divers"
"3109B";"31.09B-B";"Fabrication de meubles de jardin et d'extérieur"
"3109B";"31.09B-C";"Fabrication de meubles en rotin"
"3211Z";"32.11Z-Z";"Frappe de monnaies"
"3212Z";"32.12Z-Z";"Fabrication d'articles de joaillerie et de bijouterie"
"3213Z";"32.13Z-Z";"Fabrication d'articles de bijouterie fantaisie et articles similaires"
"3220Z";"32.20Z-A";"Lutherie"
"3220Z";"32.20Z-B";"Facteur d'orgues"
"3220Z";"32.20Z-C";"Fabrication d'autres instruments de musique"
"3230Z";"32.30Z-Z";"Fabrication d'articles de sport"
"3240Z";"32.40Z-Z";"Fabrication de jeux et jouets"
"3250A";"32.50A-A";"Fabrication de prothèses dentaires"
"3250A";"32.50A-B";"Fabrication de prothèses et orthèses podales"
"3250A";"32.50A-C";"Fabrication de prothèses et orthèses diverses"
"3250A";"32.50A-D";"Fabrication d'équipements médico-chirurgicaux"
"3250B";"32.50B-P";"Fabrication de lunettes de protection"
"3291Z";"32.91Z-Z";"Fabrication d'articles de brosserie"
"3299Z";"32.99Z-A";"Fabrication de bougies"
"3299Z";"32.99Z-B";"Fabrication d'accessoires du vêtements"
"3299Z";"32.99Z-C";"Fabrication d'articles de Paris, d'arts ou religieux"
"3299Z";"32.99Z-D";"Fabrication d'articles de fumeurs"
"3299Z";"32.99Z-E";"Taxidermie"
"3299Z";"32.99Z-F";"Fabrication d'équipements de protection et de sécurité"
"3299Z";"32.99Z-G";"Fabrication de produits manufacturés non classés ailleurs"
"3311Z";"33.11Z-Z";"Réparation d'ouvrages en métaux"
"3312Z";"33.12Z-A";"Réparation de matériel agricole"
"3312Z";"33.12Z-B";"Réparation d'autres machines"
"3313Z";"33.13Z-Z";"Réparation de matériels électroniques et optiques"
"3314Z";"33.14Z-Z";"Réparation d'équipements électriques"
"3315Z";"33.15Z-Z";"Réparation et maintenance navale"
"3316Z";"33.16Z-Z";"Réparation et maintenance d'aéronefs et d'engins spatiaux"
"3317Z";"33.17Z-Z";"Réparation et maintenance d'autres matériels de transport"
"3319Z";"33.19Z-Z";"Réparation d'autres équipements"
"3320A";"33.20A-Z";"Installation de structures métalliques, chaudronnées et de tuyauterie"
"3320B";"33.20B-Z";"Installation de machines et équipements mécaniques"
"3320C";"33.20C-Z";"Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels"
"3320D";"33.20D-Z";"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels"
"3700Z";"37.00Z-P";"Entretien de fosses septiques"
"3812Z";"38.12Z-P";"Collecte des déchets nucléaires"
"3821Z";"38.21Z-P";"Incinération des déchets non dangereux et production de cendres et scories associée"
"3822Z";"38.22Z-P";"Traitement et élimination de déchets nucléaires radioactifs"
"3831Z";"38.31Z-A";"Démantèlement d'épaves en vue de la récupération de matières métalliques"
"3831Z";"38.31Z-B";"Démantèlement d'épaves en vue de la récupération de matières non métalliques"
"3832Z";"38.32Z-A";"Traitement de matières métalliques recyclables"
"3832Z";"38.32Z-B";"Traitement de matières non métalliques recyclables"
"3900Z";"39.00Z-P";"Désamiantage"
"4120A";"41.20A-Z";"Construction de maisons individuelles"
"4120B";"41.20B-A";"Construction de bâtiments"
"4120B";"41.20B-B";"Réhabilitation de bâtiments"
"4211Z";"42.11Z-A";"Pose de signalisation routière verticale"
"4211Z";"42.11Z-B";"Aménagement de chaussées"
"4212Z";"42.12Z-Z";"Construction de voies ferrées de surface et souterraines"
"4213A";"42.13A-Z";"Construction d'ouvrages d'art"
"4213B";"42.13B-Z";"Construction et entretien de tunnels"
"4221Z";"42.21Z-A";"Construction d'installations de réseaux pour fluides"
"4221Z";"42.21Z-B";"Forage des puits d'eau"
"4222Z";"42.22Z-A";"Construction de centrales électriques"
"4222Z";"42.22Z-B";"Construction de lignes électriques et de télécommunication"
"4291Z";"42.91Z-Z";"Construction d'ouvrages maritimes et fluviaux"
"4299Z";"42.99Z-P";"Construction d'installations sportives ou récréatives de plain air"
"4311Z";"43.11Z-Z";"Travaux de démolition"
"4312A";"43.12A-Z";"Travaux de terrassement courants et travaux préparatoires"
"4312B";"43.12B-A";"Terrassements"
"4312B";"43.12B-B";"Artificiers"
"4313Z";"43.13Z-Z";"Forages et sondages"
"4321A";"43.21A-A";"Installation d'antennes"
"4321A";"43.21A-B";"Installation électrique"
"4321B";"43.21B-Z";"Travaux d'installation électrique sur la voie publique"
"4322A";"43.22A-Z";"Travaux d'installation d'eau et de gaz en tous locaux"
"4322B";"43.22B-A";"Installation et entretien de climatisation et chaufferie"
"4322B";"43.22B-B";"Installation de chauffage individuel"
"4322B";"43.22B-C";"Entretien de chaudières domestiques"
"4329A";"43.29A-Z";"Travaux d'isolation"
"4329B";"43.29B-A";"Installation d'ascenseurs"
"4329B";"43.29B-B";"Montage de clôtures et de grilles"
"4329B";"43.29B-C";"Installation de stores et bannes"
"4329B";"43.29B-D";"Autres travaux d'installation divers"
"4331Z";"43.31Z-A";"Travaux de plâtrerie d'extérieur"
"4331Z";"43.31Z-B";"Travaux de plâtrerie d'intérieur"
"4332A";"43.32A-A";"Menuiserie bois"
"4332A";"43.32A-B";"Menuiserie PVC"
"4332B";"43.32B-A";"Installation de serres et de vérandas"
"4332B";"43.32B-B";"Métallerie, serrurerie"
"4332C";"43.32C-Z";"Agencement de lieux de vente"
"4333Z";"43.33Z-Z";"Travaux de revêtement des sols et des murs"
"4334Z";"43.34Z-A";"Travaux de miroiterie de bâtiment, vitrerie"
"4334Z";"43.34Z-B";"Travaux de peinture extérieure"
"4334Z";"43.34Z-C";"Travaux de peinture intérieure et peinture plâtrerie"
"4334Z";"43.34Z-D";"Travaux de peinture en lettres sur bâtiments"
"4339Z";"43.39Z-Z";"Autres travaux de finition"
"4391A";"43.91A-Z";"Travaux de charpente"
"4391B";"43.91B-Z";"Travaux de couverture par éléments"
"4399A";"43.99A-Z";"Travaux d'étanchéification"
"4399B";"43.99B-Z";"Travaux de montage de structures métalliques"
"4399C";"43.99C-Z";"Travaux de maçonnerie générale et gros œuvre de bâtiment"
