PRODCOM Code	PRODCOM Label	Tonnage	CAS No. RefSub	Name RefSub	ENV C&L	Class ENV	HH C&L	Class HH
20146325	Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives	 25 960 	101-84-8	Diphenyl ether	400, 412	C	319	E
20143370	Aromatic monocarboxylic acids, (anhydrides), halides, peroxides, peroxyacids, derivatives excluding benzoic acid, phenylacetic acids their salts/esters, benzoyl peroxide, benzoyl chloride	 19 600 	99-75-2	Methyl p-toluate	nc	0	317	B
20142350	Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols	 19 352 	107-07-3	2-chloroethanol	411	B	300, 310	C
20144340	Imines and their derivatives; and salts thereof	 18 183 	55-56-1	 Chlorhexidine	400, 410	A	318	D
20146380	Acetals and hemiacetals and their halogenated; sulphonated; nitrated or nitrosated derivatives	 18 000 	110-88-3	1,3,5-trioxane	nc	0	361	B
20153400	Double salts and mixtures of calcium nitrate and ammonium nitrate (excluding in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 16 483 	10124-37-5	Calcium nitrate	nc	0	318	D
20135125	Chromates and dichromates; peroxochromates	 15 000 	10588-01-9	Sodium dichromate	400, 410	A	350	A
20132116	Iodine; fluorine; bromine	 12 080 	7726-95-6	Bromine	400	E	314 (1A)	C
20144360	1-Cyanoguanidine (dicyandiamide)	 12 000 	461-58-5	Cyanoguanidine	nc	0	nc	0
20132415	Chlorosulphuric acid	 11 960 	7790-94-5	Chlorosulphuric acid	nc	0	314 (1A)	C
20142450	Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols	 11 400 	120-83-2	 2,4-dichlorophenol 	411	B	314 (1B)	D
20121930	Cobalt oxides and hydroxides; commercial cobalt oxides	 7 000 	1307-96-6	Cobalt oxide	400, 410	A	317	B
20121973	Molybdenum oxides and hydroxides	 5 953 	1313-27-5	Molybdenum trioxide	nc	0	351	B
20144420	Diazo-, azo- or azoxy-compounds	 4 338 	5567-15-7	2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutyramide]	nc	0	nc	0
20132180	Phosphorus; arsenic; selenium	 1 661 	7782-49-2	Selenium	413	D	331, 373, 301	D
